,Unnamed: 0,Unnamed: 0.1,CASE_NUMBER,CASE_STATUS,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,STATUS_APPROVE,RELOCATE,year,descrpt
0,0,0,I-200-09106-546545,CERTIFIED-WITHDRAWN,H-1B,TEXAS STATE UNIVERSITY-SAN MARCOS,SAN MARCOS,TX,19-1029,"Biological Scientists, All Other",POSTDOCTORAL RESEARCH ASSOCIATE,Y,43118.0,Year,0,1,2014,"Life, Physical, and Social Science Occupations"
1,1,1,I-200-09162-143337,CERTIFIED,H-1B,"EYE SPECIALISTS OF INDIANA, P.C.",INDIANAPOLIS,IN,29-1041,Optometrists,OPTOMETRIST,Y,64251.0,Year,1,1,2014,Healthcare Practitioners and Technical Occupations
2,2,2,I-200-09182-550211,DENIED,H-1B,"LHB, INC.",DULUTH,MN,27-2011,Actors,FOOD SAFETY SCIENTIST,Y,50000.0,Year,0,0,2014,"Arts, Design, Entertainment, Sports, and Media Occupations"
3,3,3,I-200-09193-873099,CERTIFIED,H-1B,"WAM USA, INC.",LAWRENCEVILLE,GA,13-2011,Accountants and Auditors,INTERNATIONAL ACCOUNTANT,Y,47424.0,Year,1,1,2014,Business and Financial Operations Occupations
4,4,4,I-200-09197-120609,CERTIFIED-WITHDRAWN,H-1B,"DFUSE TECHNOLOGIES, INC.",ASHBURN,VA,15-1131,Computer Programmers,PROGRAMMER ANALYST,Y,61589.0,Year,0,0,2014,Computer and Mathematical Occupations
5,5,5,I-200-09203-855998,CERTIFIED,H-1B,TAKE ENTERPRISE SERVICES INC,PRINCETON,NJ,15-1131,Computer Programmers,PROGRAMMER ANALYST,Y,53706.0,Year,1,0,2014,Computer and Mathematical Occupations
6,6,6,I-200-09205-703458,WITHDRAWN,H-1B,"TAKE SOLUTIONS, INC",PRINCETON,NJ,15-1131,Computer Programmers,PROGRAMMER ANLYST,Y,49774.0,Year,0,0,2014,Computer and Mathematical Occupations
7,7,7,I-200-09205-927162,CERTIFIED,H-1B,"PLATTFORM ADVERTISING, INC.",LENEXA,KS,15-1132,"Software Developers, Applications",SENIOR APPLICATION DEVELOPER,Y,99403.0,Year,1,1,2014,Computer and Mathematical Occupations
8,8,8,I-200-09208-457486,WITHDRAWN,H-1B,PROPEL CORP.,LOUISVILLE,KY,15-1031,"Computer Software Engineers, Applications",SOFTWARE ENGINEER,Y,58427.0,Year,0,1,2014,Computer and Mathematical Occupations
9,9,9,I-200-09211-513022,CERTIFIED-WITHDRAWN,H-1B,UT HEALTH SCIENCE CENTER AT SAN ANTONIO,SAN ANTONIO,TX,15-1031,"Physicians and Surgeons, All Other",ASSISTANT PROFESSOR,Y,43701.0,Year,0,1,2014,Computer and Mathematical Occupations
10,10,10,I-200-09216-104957,WITHDRAWN,H-1B,"CITRON PHARMA, LLC",EAST BRUNSWICK,NJ,15-1131,Computer Programmers,ERP PROGRAMMER,Y,52770.0,Year,0,1,2014,Computer and Mathematical Occupations
11,11,11,I-200-09223-150783,CERTIFIED-WITHDRAWN,H-1B,"ATHEROS COMMUNICATIONS, INC.",SAN JOSE,CA,15-1031,"Computer Software Engineers, Systems Software",SOFTWARE ENGINEER,Y,85904.0,Year,0,1,2014,Computer and Mathematical Occupations
12,12,12,I-200-09225-615114,CERTIFIED-WITHDRAWN,H-1B,"ETEK IT SERVICES, INC.",SCHAUMBURG,IL,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,Y,96429.0,Year,0,0,2014,Computer and Mathematical Occupations
13,13,13,I-200-09229-182110,WITHDRAWN,H-1B,"ICON TECHNOLOGIES, INC.",ALPHARETTA,GA,15-1131,Computer Programmers,COMPUTER PROGRAMMER,Y,52229.0,Year,0,1,2014,Computer and Mathematical Occupations
14,14,14,I-200-09230-596710,CERTIFIED,H-1B,DEWBERRY ENGINEERS INC.,FAIRFAX,VA,17-2051,Civil Engineers,STRUCTURAL ENGINEER,Y,77979.0,Year,1,0,2014,Architecture and Engineering Occupations
15,15,15,I-200-09231-610493,CERTIFIED,H-1B,"CAREMARK, LLC",IRVING,TX,15-1132,"Software Developers, Applications","ANALYST, APPLICATION DEVELOPMENT",Y,58074.0,Year,1,0,2014,Computer and Mathematical Occupations
16,16,16,I-200-09240-162319,CERTIFIED-WITHDRAWN,H-1B,"CRISPIN PORTER & BOGUSKY, LLC",MIAMI,FL,27-1011,Art Directors,ART DIRECTOR,Y,43300.0,Year,0,0,2014,"Arts, Design, Entertainment, Sports, and Media Occupations"
17,17,17,I-200-09244-448752,CERTIFIED,H-1B,"CAREMARK, LLC",IRVING,TX,15-1199,"Computer Occupations, All Other",IT QUALITY ASSURANCE AUTOMATION ANALYST,Y,63294.0,Year,1,0,2014,Computer and Mathematical Occupations
18,18,18,I-200-09253-169906,CERTIFIED,H-1B,"LOGISTIC SOLUTIONS, INC.",PISCATAWAY,NJ,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,Y,91104.0,Year,1,0,2014,Computer and Mathematical Occupations
19,19,19,I-200-09254-252471,CERTIFIED-WITHDRAWN,H-1B,"FRS AMERICA, INC.",RIVERWOODS,IL,41-9031,Sales Engineers,TECH SALES SUPPORT SPECIALIST III,Y,101338.0,Year,0,0,2014,Sales and Related Occupations
20,20,20,I-200-09258-595347,CERTIFIED-WITHDRAWN,H-1B,"SYSINTELLI, INC",SAN DIEGO,CA,15-1132,"Software Developers, Applications",SOFTWARE DEVELOPER,Y,55494.0,Year,0,0,2014,Computer and Mathematical Occupations
21,21,21,I-200-09259-849209,CERTIFIED,H-1B,"FRS AMERICA, INC.",RIVERWOODS,IL,11-3021,Computer and Information Systems Managers,SENIOR IMPLEMENTATION CONSULTANT,Y,129418.0,Year,1,0,2014,Management Occupations
