,Unnamed: 0,Unnamed: 0.1,CASE_NUMBER,CASE_STATUS,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,STATUS_APPROVE,RELOCATE,year,descrpt
0,0,0,I-200-09121-701936,WITHDRAWN,H-1B,"MEDTRONIC, INC.",MINNEAPOLIS,MN,17-2141,MECHANICAL ENGINEERS,MECHANICAL ENGINEER,Y,19000.0,Year,0,1,2015,Architecture and Engineering Occupations
1,1,1,I-200-09146-796321,CERTIFIED,H-1B,UNIVERSITY OF OKLAHOMA,NORMAN,OK,25-1032,"ENGINEERING TEACHERS, POSTSECONDARY",ASSISTANT PROFESSOR,Y,42860.0,Year,1,1,2015,"Education, Training, and Library Occupations"
2,2,2,I-200-09180-329758,WITHDRAWN,H-1B,NOKIA INC.,IRVING,TX,15-1799,"COMPUTER OCCUPATIONS, ALL OTHER*",RELEASE AND SOFTWARE TEST MANAGER,Y,73965.0,Year,0,1,2015,Computer and Mathematical Occupations
3,3,3,I-200-09183-259985,CERTIFIED,H-1B,"OMRON OILFIELD AND MARINE, INC.",HOUSTON,TX,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",CONTROL ENGINEERING SPECIALIST,Y,65998.0,Year,1,1,2015,Architecture and Engineering Occupations
4,4,4,I-200-09189-800933,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CO.,MCLEAN,VA,15-1131,COMPUTER PROGRAMMERS,DEVELOPMENT SENIOR,Y,96907.0,Year,1,1,2015,Computer and Mathematical Occupations
5,5,5,I-200-09195-662319,WITHDRAWN,H-1B,"APLARS, LLC",LITTLE CANADA,MN,17-2141,MARKET RESEARCH ANALYSTS,BUSINESS ANALYST,Y,20000.0,Year,0,1,2015,Architecture and Engineering Occupations
6,6,6,I-200-09212-834534,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",STAFF ENGINEER,Y,133976.0,Year,1,1,2015,Computer and Mathematical Occupations
7,7,7,I-200-09232-212049,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-2031,OPERATIONS RESEARCH ANALYSTS,CREDIT GUARANTEE ANALYTICS SENIOR,Y,64085.0,Year,1,1,2015,Computer and Mathematical Occupations
8,8,8,I-200-09233-732656,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1121,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER/ANALYST - SENIOR APPLICATIONS DEVELOPER,Y,101900.0,Year,1,1,2015,Computer and Mathematical Occupations
9,9,9,I-200-09244-289740,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,98557.0,Year,1,1,2015,Computer and Mathematical Occupations
10,10,10,I-200-09258-461335,DENIED,H-1B,"LHB, INC.",DULUTH,MN,13-2011,ACCOUNTANTS AND AUDITORS,F,Y,345000.0,Year,0,1,2015,Business and Financial Operations Occupations
11,11,11,I-200-09261-001558,DENIED,H-1B,"INTERNATIONAL SOLUTIONS GROUP, INC.",HERNDON,VA,17-2141,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,66976.0,Year,0,1,2015,Architecture and Engineering Occupations
12,12,12,I-200-09274-925070,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",SENIOR MEMBER OF TECHNICAL STAFF - QUALITY ENGINEERING,Y,111742.0,Year,1,1,2015,Computer and Mathematical Occupations
13,13,13,I-200-09296-661220,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775.0,Year,1,1,2015,Computer and Mathematical Occupations
14,14,14,I-200-09302-785109,CERTIFIED-WITHDRAWN,H-1B,VF CORPORATION,GREENSBORO,NC,11-3021,COMPUTER AND INFORMATION SYSTEMS MANAGERS,PROJECT MANAGER (DIGITAL/ECOMMERCE),Y,110300.0,Year,0,1,2015,Management Occupations
15,15,15,I-200-09313-334737,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-1121,COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYSIS SENIOR,Y,75200.0,Year,1,1,2015,Computer and Mathematical Occupations
16,16,16,I-200-09316-752823,WITHDRAWN,H-1B,"LANDRY'S RESTAURANTS, INC.",HOUSTON,TX,17-2141,FOOD SERVICE MANAGERS,GENERAL MANAGER,Y,89569.0,Year,0,1,2015,Architecture and Engineering Occupations
17,17,17,I-200-09317-262420,WITHDRAWN,H-1B,"LANDRY'S RESTAURANTS, INC.",HOUSTON,TX,17-2141,FOOD SERVICE MANAGERS,GENERAL MANAGER,Y,56722.0,Year,0,1,2015,Architecture and Engineering Occupations
18,18,18,I-200-09321-731590,CERTIFIED,H-1B,PARSONS SERVICES COMPANY,PASADENA,CA,15-1141,DATABASE ADMINISTRATORS,SENIOR IT SPECIALIST,Y,108472.0,Year,1,1,2015,Computer and Mathematical Occupations
19,19,19,I-200-09329-943146,CERTIFIED-WITHDRAWN,H-1B,DELPHI CORPORATION,TROY,MI,17-2071,ELECTRICAL ENGINEERS,ALGORITHM-STATE ESTIMATION DEVELOPMENT ENGINEER,Y,91936.0,Year,0,1,2015,Architecture and Engineering Occupations
20,20,20,I-200-09334-392690,WITHDRAWN,H-1B,DAIRY INFORMATION SYSTEMS HOLDINGS LLC,ENGLEWOOD,CO,17-2141,COMPUTER SYSTEMS ANALYSTS,APPLICATIONS PROGRAMMING MANAGER,Y,94411.0,Year,0,1,2015,Architecture and Engineering Occupations
21,21,21,I-200-09341-564186,CERTIFIED-WITHDRAWN,H-1B,"XPERT TECHNOLOGIES, INC.",CAMP HILL,PA,15-1799,"COMPUTER OCCUPATIONS, ALL OTHER*",QUALITY ASSURANCE ANALYST,Y,58282.0,Year,0,1,2015,Computer and Mathematical Occupations
22,22,22,I-200-09342-274341,CERTIFIED,H-1B,"ISR INFO WAY, INC.",MADISON,WI,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",SR. SOFTWARE DEVELOPER,Y,84906.0,Year,1,1,2015,Computer and Mathematical Occupations
23,23,23,I-200-09362-088372,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-2031,OPERATIONS RESEARCH ANALYSTS,CREDIT GUARANTEE ANALYTICS SENIOR,Y,64085.0,Year,1,1,2015,Computer and Mathematical Occupations
24,24,24,I-200-09362-500914,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-1141,DATABASE ADMINISTRATORS,SHARED INFORMATION SUPPORT SENIOR,Y,90800.0,Year,1,1,2015,Computer and Mathematical Occupations
25,25,25,I-200-09364-425868,CERTIFIED,H-1B,MAGIC CIRCLE FILMS INTERNATIONAL LLC,AUBURN,NY,27-4032,FILM AND VIDEO EDITORS,VIDEO EDITOR,Y,39333.0,Year,1,1,2015,"Arts, Design, Entertainment, Sports, and Media Occupations"
26,26,26,I-200-10006-413683,WITHDRAWN,H-1B,SAPHIRE SOLUTIONS INC,ISELIN,NJ,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,SYSTEMS ADMINISTRATOR,Y,68638.0,Year,0,1,2015,Computer and Mathematical Occupations
27,27,27,I-200-10028-389232,CERTIFIED,H-1B,SWANKTEK INC,NUTLEY,NJ,15-1121,COMPUTER SYSTEMS ANALYSTS,BI APPLICATIONS CONSULTANT,Y,66602.0,Year,1,1,2015,Computer and Mathematical Occupations
28,28,28,I-200-10028-460244,CERTIFIED,H-1B,"SUNERA TECHNOLOGIES, INC",TROY,MI,15-1131,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,61901.0,Year,1,1,2015,Computer and Mathematical Occupations
29,29,29,I-200-10033-402166,WITHDRAWN,H-1B,NATIONAL SEMICONDUCTOR CORPORATION,SANTA CLARA,CA,17-2141,ELECTRICAL ENGINEERS,SENIOR APPLICATIONS ENGINEER,Y,75899.0,Year,0,1,2015,Architecture and Engineering Occupations
30,30,30,I-200-10034-822100,CERTIFIED,H-1B,AMENSYS INC,LEWISVILLE,TX,15-1131,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,55744.0,Year,1,1,2015,Computer and Mathematical Occupations
31,31,31,I-200-10035-077428,CERTIFIED-WITHDRAWN,H-1B,"AKT, LLC.",ISELIN,NJ,15-1131,COMPUTER PROGRAMMERS,JAVA DEVELOPER,Y,51210.0,Year,0,1,2015,Computer and Mathematical Occupations
32,32,32,I-200-10040-339674,CERTIFIED-WITHDRAWN,H-1B,"EXLSERVICE.COM, INC.",NEW YORK,NY,11-3021,COMPUTER AND INFORMATION SYSTEMS MANAGERS,ASSISTANT VICE PRESIDENT - DECISION ANALYTICS,Y,99715.0,Year,0,1,2015,Management Occupations
33,33,33,I-200-10041-053406,WITHDRAWN,H-1B,"H & H RESOURCES, INC.",HOUSTON,TX,17-2141,CIVIL ENGINEERS,GRADUATE ENGINEER,Y,52865.0,Year,0,1,2015,Architecture and Engineering Occupations
34,34,34,I-200-10050-565007,DENIED,H-1B,"LHB, INC.",DULUTH,MN,17-2141,STATISTICIANS,SITE OPERATIONS MANAGER,Y,20000.0,Year,0,1,2015,Architecture and Engineering Occupations
35,35,35,I-200-10068-389593,CERTIFIED,H-1B,BANK OF THE WEST,SAN RAMON,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",JAVA DEVELOPER,Y,84781.0,Year,1,1,2015,Computer and Mathematical Occupations
36,36,36,I-200-10070-200317,CERTIFIED,H-1B,"CONSULTWEBS.COM, INC.",RALEIGH,NC,15-1131,COMPUTER PROGRAMMERS,VICE PRESIDENT (PROGRAMMING),Y,67371.0,Year,1,1,2015,Computer and Mathematical Occupations
37,37,37,I-200-10074-644541,CERTIFIED,H-1B,JARDEN CORPORATION,NORWALK,CT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",LEAD PEOPLESOFT PROGRAMMER/ANALYST,Y,102066.0,Year,1,1,2015,Computer and Mathematical Occupations
38,38,38,I-200-10075-818637,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775.0,Year,1,1,2015,Computer and Mathematical Occupations
39,39,39,I-200-10076-237054,CERTIFIED,H-1B,"EMINENCE IT SOLUTIONS, INC.",CARY,NC,17-2141,ENVIRONMENTAL ENGINEERS,"STAFF II, ENVIRONMENTAL STAFF ENGINEER",Y,62504.0,Year,1,1,2015,Architecture and Engineering Occupations
40,40,40,I-200-10076-701665,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,98557.0,Year,1,1,2015,Computer and Mathematical Occupations
41,41,41,I-200-10083-675557,CERTIFIED-WITHDRAWN,H-1B,WASHINGTON STATE UNIVERSITY,PULLMAN,WA,19-1029,"BIOLOGICAL SCIENTISTS, ALL OTHER",TECHNICAL TRANSFER SPECIALIST,Y,39166.0,Year,0,1,2015,"Life, Physical, and Social Science Occupations"
42,42,42,I-200-10088-558626,CERTIFIED-WITHDRAWN,H-1B,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,15-2021,MATHEMATICIANS,RESEARCHER,Y,47320.0,Year,0,1,2015,Computer and Mathematical Occupations
43,43,43,I-200-10097-538466,CERTIFIED,H-1B,UNIVERSITY OF TEXAS AT EL PASO,EL PASO,TX,27-3031,PUBLIC RELATIONS SPECIALISTS,PROGRAM COORDINATOR,Y,33987.0,Year,1,1,2015,"Arts, Design, Entertainment, Sports, and Media Occupations"
44,44,44,I-200-10110-383326,CERTIFIED,H-1B,AIMIC INC,CHANTILLY,VA,15-1121,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,47431.0,Year,1,1,2015,Computer and Mathematical Occupations
45,45,45,I-200-10110-892779,CERTIFIED-WITHDRAWN,H-1B,SARAYU CONSULTANTS INC,SCHAUMBURG,IL,15-1131,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,65707.0,Year,0,1,2015,Computer and Mathematical Occupations
46,46,46,I-200-10111-541256,WITHDRAWN,H-1B,THE VALDEN GROUP,LAREDO,TX,17-2141,ECONOMISTS,TRADE ANALYST/ECONOMIST,Y,45739.0,Year,0,1,2015,Architecture and Engineering Occupations
47,47,47,I-200-10116-840479,CERTIFIED,H-1B,TRANS AMERICAN INFORMATION SYSTEMS INC,LEWISVILLE,TX,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",E-COMMERCE QA ANALYST,Y,57678.0,Year,1,1,2015,Computer and Mathematical Occupations
48,48,48,I-200-10123-072652,CERTIFIED,H-1B,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,OKLAHOMA CITY,OK,15-2041,STATISTICIANS,RESEARCH BIOSTATISTICIAN,Y,47133.0,Year,1,1,2015,Computer and Mathematical Occupations
49,49,49,I-200-10126-411525,CERTIFIED,H-1B,"LLAMASOFT, INC.",ANN ARBOR,MI,15-2031,OPERATIONS RESEARCH ANALYSTS,APPLIED RESEARCH SCIENTIST,Y,80018.0,Year,1,1,2015,Computer and Mathematical Occupations
50,50,50,I-200-10131-100799,CERTIFIED,H-1B,E.I. DU PONT DE NEMOURS AND COMPANY,WILMINGTON,DE,17-2141,MECHANICAL ENGINEERS,MECHANICAL ENGINEERING CONSULTANT,Y,96013.0,Year,1,1,2015,Architecture and Engineering Occupations
51,51,51,I-200-10137-273423,DENIED,H-1B,"INTERNATIONAL SOLUTIONS GROUP, INC.",HERNDON,VA,17-2141,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,70013.0,Year,0,1,2015,Architecture and Engineering Occupations
52,52,52,I-200-10137-791989,DENIED,H-1B,"INTERNATIONAL SOLUTIONS GROUP, INC.",HERNDON,VA,15-1131,COMPUTER PROGRAMMERS,PROGRAMMER ANALYST,Y,69056.0,Year,0,1,2015,Computer and Mathematical Occupations
53,53,53,I-200-10147-349494,CERTIFIED-WITHDRAWN,H-1B,MAP-IT SOLUTIONS INC,TEMPE,AZ,17-2141,MANAGEMENT ANALYSTS,BUSINESS ANALYST,Y,60216.0,Year,0,1,2015,Architecture and Engineering Occupations
54,54,54,I-200-10147-884998,WITHDRAWN,H-1B,SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,RESEARCH TRIANGLE PARK,NC,17-2141,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",SOFTWARE QA STAFF ENGINEER (TEST/VERIFICATION),Y,71386.0,Year,0,1,2015,Architecture and Engineering Occupations
55,55,55,I-200-10155-624797,CERTIFIED,H-1B,"VMWARE, INC.",PALO ALTO,CA,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775.0,Year,1,1,2015,Computer and Mathematical Occupations
56,56,56,I-200-10162-078390,CERTIFIED,H-1B,CCH INCORPORATED,RIVERWOODS,IL,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",PROGRAMMER ANALYST III,Y,98333.0,Year,1,1,2015,Computer and Mathematical Occupations
57,57,57,I-200-10162-700708,CERTIFIED-WITHDRAWN,H-1B,"HEALTH LANGUAGE, INC.",RIVERWOODS,IL,17-2031,BIOMEDICAL ENGINEERS,SENIOR PRODUCT SUPPORT CONSULTANT,Y,72530.0,Year,0,1,2015,Architecture and Engineering Occupations
58,58,58,I-200-10162-830147,CERTIFIED-WITHDRAWN,H-1B,CCH INCORPORATED,RIVERWOODS,IL,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",APPLICATIONS DEVELOPER III,Y,69659.0,Year,0,1,2015,Computer and Mathematical Occupations
59,59,59,I-200-10165-647269,CERTIFIED-WITHDRAWN,H-1B,WINDYCITY TECHNOLOGIES INC,CHICAGO,IL,13-1199,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*",BUSINESS  ANALYST,Y,59966.0,Year,0,1,2015,Business and Financial Operations Occupations
60,60,60,I-200-10165-855838,CERTIFIED,H-1B,AIMIC INC,CHANTILLY,VA,15-1121,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,47431.0,Year,1,1,2015,Computer and Mathematical Occupations
61,61,61,I-200-10165-985039,CERTIFIED,H-1B,AIMIC INC,CHANTILLY,VA,15-1121,COMPUTER SYSTEMS ANALYSTS,SOFTWARE ENGINEER,Y,60507.0,Year,1,1,2015,Computer and Mathematical Occupations
62,62,62,I-200-10167-257018,WITHDRAWN,H-1B,"TECHNIP USA, INC.",HOUSTON,TX,17-2141,MECHANICAL ENGINEERS,SENIOR SPECIALIST,Y,82700.0,Year,0,1,2015,Architecture and Engineering Occupations
63,63,63,I-200-10168-410724,WITHDRAWN,H-1B,CHICAGO BRIDGE & IRON COMPANY (DELAWARE),HOUSTON,TX,17-2141,ELECTRICAL ENGINEERS,SR. ELECTRICAL DESIGNER II,Y,68247.0,Year,0,1,2015,Architecture and Engineering Occupations
64,64,64,I-200-10204-793879,WITHDRAWN,H-1B,"BROKEN HILL PROPRIETARY (USA), INC.",HOUSTON,TX,17-2141,LOGISTICIANS,DISTRIBUTION ADMINISTRATOR,Y,46987.0,Year,0,1,2015,Architecture and Engineering Occupations
65,65,65,I-200-10207-775880,WITHDRAWN,H-1B,"TECHNIP USA, INC.",HOUSTON,TX,17-2141,MECHANICAL ENGINEERS,SENIOR DEEPWATER RISER ENGINEER,Y,80392.0,Year,0,1,2015,Architecture and Engineering Occupations
66,66,66,I-200-10214-358714,CERTIFIED-WITHDRAWN,H-1B,"WS ATKINS, INC.",HOUSTON,TX,17-2051,CIVIL ENGINEERS,ASSISTANT CFD CONSULTANT,Y,64400.0,Year,0,1,2015,Architecture and Engineering Occupations
67,67,67,I-200-10214-421060,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-2031,OPERATIONS RESEARCH ANALYSTS,SECURITIES MODELING PROFESSIONAL,Y,64085.0,Year,1,1,2015,Computer and Mathematical Occupations
68,68,68,I-200-10215-099771,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,INFORMATION SECURITY SENIOR,Y,85600.0,Year,1,1,2015,Computer and Mathematical Occupations
69,69,69,I-200-10217-966696,CERTIFIED,H-1B,TRANS AMERICAN INFORMATION SYSTEMS INC,LEWISVILLE,TX,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",ATG DEVELOPER,Y,79747.0,Year,1,1,2015,Computer and Mathematical Occupations
70,70,70,I-200-10223-731658,CERTIFIED-WITHDRAWN,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,13-2011,ACCOUNTANTS AND AUDITORS,INTERNAL AUDIT PROFESSIONAL,Y,55286.0,Year,0,1,2015,Business and Financial Operations Occupations
71,71,71,I-200-10224-292346,CERTIFIED,H-1B,FEDERAL HOME LOAN MORTGAGE CORPORATION,MCLEAN,VA,15-2031,OPERATIONS RESEARCH ANALYSTS,RISK MODELING SENIOR,Y,64085.0,Year,1,1,2015,Computer and Mathematical Occupations
72,72,72,I-200-10228-828212,CERTIFIED-WITHDRAWN,H-1B,THE JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD,19-4021,BIOLOGICAL TECHNICIANS,RESEARCH TECHNOLOGIST,Y,27768.0,Year,0,1,2015,"Life, Physical, and Social Science Occupations"
73,73,73,I-200-10237-048581,WITHDRAWN,H-1B,SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,ATLANTA,GA,17-2141,OPERATIONS RESEARCH ANALYSTS,REGIONAL BUSINESS MANAGER,Y,54912.0,Year,0,1,2015,Architecture and Engineering Occupations
74,74,74,I-200-10244-239911,CERTIFIED,H-1B,E.I. DU PONT DE NEMOURS AND COMPANY,WILMINGTON,DE,17-2021,AGRICULTURAL ENGINEERS,"RESEARCH INVESTIGATOR, APPLICATION TECHNOLOGY",Y,68370.0,Year,1,1,2015,Architecture and Engineering Occupations
