,Unnamed: 0,Unnamed: 0.1,CASE_NUMBER,CASE_STATUS,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,STATUS_APPROVE,RELOCATE,year,descrpt
0,1,1,I-200-13053-847481,CERTIFIED-WITHDRAWN,H-1B,"GOODMAN NETWORKS, INC.",PLANO,TX,11-1011,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,242674.0,Year,0,1,2016,Management Occupations
1,2,2,I-200-13088-054259,CERTIFIED-WITHDRAWN,H-1B,"PORTS AMERICA GROUP, INC.",JERSEY CITY,NJ,11-1011,CHIEF EXECUTIVES,CHIEF PROCESS OFFICER,Y,193066.0,Year,0,1,2016,Management Occupations
2,3,3,I-200-13144-034110,CERTIFIED-WITHDRAWN,H-1B,"GATES CORPORATION, A WHOLLY-OWNED SUBSIDIARY OF TOMKINS PLC",DENVER,CO,11-1011,CHIEF EXECUTIVES,"REGIONAL PRESIDEN, AMERICAS",Y,220314.0,Year,0,1,2016,Management Occupations
3,4,4,I-200-13219-306739,CERTIFIED-WITHDRAWN,H-1B,BURGER KING CORPORATION,MIAMI,FL,11-1011,CHIEF EXECUTIVES,"EXECUTIVE V P, GLOBAL DEVELOPMENT AND PRESIDENT, LATIN AMERI",Y,225000.0,Year,0,1,2016,Management Occupations
4,5,5,I-200-13317-861241,CERTIFIED-WITHDRAWN,H-1B,BT AND MK ENERGY AND COMMODITIES,MIAMI,FL,11-1011,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,91021.0,Year,0,0,2016,Management Occupations
5,6,6,I-200-14037-755844,CERTIFIED-WITHDRAWN,H-1B,"GLOBO MOBILE TECHNOLOGIES, INC.",SAN JOSE,CA,11-1011,CHIEF EXECUTIVES,CHIEF OPERATIONS OFFICER,Y,150000.0,Year,0,1,2016,Management Occupations
6,7,7,I-200-14042-183163,CERTIFIED-WITHDRAWN,H-1B,ESI COMPANIES INC.,MEMPHIS,TN,11-1011,CHIEF EXECUTIVES,PRESIDENT,Y,127546.0,Year,0,1,2016,Management Occupations
7,8,8,I-200-14072-690535,WITHDRAWN,H-1B,LESSARD INTERNATIONAL LLC,VIENNA,VA,11-1011,CHIEF EXECUTIVES,PRESIDENT,Y,154648.0,Year,0,1,2016,Management Occupations
8,9,9,I-200-14078-894857,CERTIFIED-WITHDRAWN,H-1B,H.J. HEINZ COMPANY,PITTSBURGH,PA,11-1011,CHIEF EXECUTIVES,"CHIEF INFORMATION OFFICER, HEINZ NORTH AMERICA",Y,182978.0,Year,0,1,2016,Management Occupations
9,10,10,I-200-14149-018419,CERTIFIED-WITHDRAWN,H-1B,DOW CORNING CORPORATION,MIDLAND,MI,11-1011,CHIEF EXECUTIVES,VICE PRESIDENT AND CHIEF HUMAN RESOURCES OFFICER,Y,163717.0,Year,0,1,2016,Management Occupations
10,11,11,I-200-14171-616267,CERTIFIED-WITHDRAWN,H-1B,"BIOCAIR, INC.",BOSTON,MA,11-1011,CHIEF EXECUTIVES,CHIEF COMMERCIAL OFFICER,Y,252637.0,Year,0,0,2016,Management Occupations
11,12,12,I-200-14231-645202,CERTIFIED-WITHDRAWN,H-1B,NEWMONT MINING CORPORATION,GREENWOOD VILLAGE,CO,11-1011,CHIEF EXECUTIVES,BOARD MEMBER,Y,105914.0,Year,0,1,2016,Management Occupations
12,13,13,I-200-15070-614874,CERTIFIED-WITHDRAWN,H-1B,"VRICON, INC.",STERLING,VA,11-1011,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,153046.0,Year,0,1,2016,Management Occupations
13,14,14,I-200-15113-356765,CERTIFIED-WITHDRAWN,H-1B,CARDIAC SCIENCE CORPORATION,WAUKESHA,WI,11-1011,FINANCIAL MANAGERS,VICE PRESIDENT OF FINANCE,Y,90834.0,Year,0,1,2016,Management Occupations
14,15,15,I-200-15191-327425,CERTIFIED-WITHDRAWN,H-1B,WESTFIELD CORPORATION,CENTURY CITY,CA,11-1011,CHIEF EXECUTIVES,"GENERAL MANAGER, OPERATIONS",Y,164050.0,Year,0,0,2016,Management Occupations
15,16,16,I-200-15209-285824,CERTIFIED,H-1B,"MCCHRYSTAL GROUP, LLC",ALEXANDRIA,VA,11-1011,CHIEF EXECUTIVES,"PRESIDENT, NORTHEAST REGION",Y,241842.0,Year,1,1,2016,Management Occupations
16,17,17,I-200-15210-427331,CERTIFIED-WITHDRAWN,H-1B,"CUDDLE BARN, INC.",COMMERCE,CA,11-1011,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER (COO),Y,117998.0,Year,0,1,2016,Management Occupations
17,18,18,I-200-15230-262660,CERTIFIED-WITHDRAWN,H-1B,WESTFIELD CORPORATION,CENTURY CITY,CA,11-1011,CHIEF EXECUTIVES,"GENERAL MANAGER, OPERATIONS",Y,164050.0,Year,0,0,2016,Management Occupations
18,19,19,I-200-15230-781769,CERTIFIED,H-1B,"LOMICS, LLC",SAN DIEGO,CA,11-1011,CHIEF EXECUTIVES,CEO,Y,99986.0,Year,1,1,2016,Management Occupations
19,20,20,I-200-15251-463485,CERTIFIED,H-1B,UC UNIVERSITY HIGH SCHOOL EDUCATION INC.,CHULA VISTA,CA,11-1011,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,99986.0,Year,1,1,2016,Management Occupations
20,21,21,I-200-15252-676375,CERTIFIED-WITHDRAWN,H-1B,VMS COMMUNICATIONS LLC,MIAMI,FL,11-1011,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370.0,Year,0,1,2016,Management Occupations
21,22,22,I-200-15275-080753,CERTIFIED-WITHDRAWN,H-1B,FOODESSENTIALS CORPORATION,SAINT LOUIS,MO,11-1011,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853.0,Year,0,0,2016,Management Occupations
22,23,23,I-200-15280-198598,CERTIFIED,H-1B,HELLO INC.,SAN FRANCISCO,CA,11-1011,CHIEF EXECUTIVES,CHIEF BUSINESS OFFICER,Y,215862.0,Year,1,1,2016,Management Occupations
23,24,24,I-200-15280-454382,CERTIFIED,H-1B,UMBEL CORP,AUSTIN,TX,11-1011,CHIEF EXECUTIVES,VICE PRESIDENT OF ENGINEERING,Y,192088.0,Year,1,1,2016,Management Occupations
24,25,25,I-200-15287-400003,CERTIFIED,H-1B,GTH INC.,WASHINGTON,DC,11-1011,CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,149594.0,Year,1,1,2016,Management Occupations
25,26,26,I-200-15294-492048,CERTIFIED,H-1B,THE KRAFT HEINZ COMPANY,PITTSBURGH,PA,11-1011,CHIEF EXECUTIVES,HEAD OF US SALES,Y,226699.0,Year,1,0,2016,Management Occupations
26,27,27,I-200-15295-327350,CERTIFIED,H-1B,"REGED, INC.",MORRISVILLE,NC,11-1011,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200.0,Year,1,1,2016,Management Occupations
